"","Name","ID","Lat","Lon","Stn.Name","Stn.stDate","Stn.edDate"
"351","Atlanta","USW00013874",33.63,-84.4417,"ATLANTA WSO CITY","1879-01-01","1928-08-31"
"352","Atlanta","USW00013874",33.63,-84.4417,"ATLANTA HARTSFIELD INTL AP","1928-09-01","2020-12-31"
"353","Athens","USW00013873",33.9481,-83.3275,"ATHENS","1858-01-01","1944-05-31"
"354","Athens","USW00013873",33.9481,-83.3275,"ATHENS BEN EPPS AP","1944-06-01","2020-12-31"
"355","WestPalmBeach","USW00012844",26.6847,-80.0994,"JUPITER-HYPOLUXO","1889-01-01","1999-12-01"
"356","WestPalmBeach","USW00012844",26.6847,-80.0994,"HYPOLUXO","1899-12-02","1929-12-31"
"357","WestPalmBeach","USW00012844",26.6847,-80.0994,"WEST PALM BEACH","1930-01-01","1938-06-30"
"358","WestPalmBeach","USW00012844",26.6847,-80.0994,"WEST PALM BEACH INTL ARPT","1938-07-01","1938-10-31"
"359","WestPalmBeach","USW00012844",26.6847,-80.0994,"WEST PALM BEACH","1938-11-01","1938-11-30"
"360","WestPalmBeach","USW00012844",26.6847,-80.0994,"WEST PALM BEACH INTL ARPT","1938-12-01","1939-05-30"
"361","WestPalmBeach","USW00012844",26.6847,-80.0994,"WEST PALM BEACH","1939-06-01","1940-09-30"
"362","WestPalmBeach","USW00012844",26.6847,-80.0994,"WEST PALM BEACH INTL ARPT","1940-10-01","1940-12-31"
"363","WestPalmBeach","USW00012844",26.6847,-80.0994,"WEST PALM BEACH","1941-01-01","1941-01-31"
"364","WestPalmBeach","USW00012844",26.6847,-80.0994,"WEST PALM BEACH INTL ARPT","1941-02-01","2020-12-31"
"365","Tampa","USW00012842",27.9619,-82.5403,"TAMPA WBO","1891-01-01","1940-12-31"
"366","Tampa","USW00012842",27.9619,-82.5403,"TAMPA PETER O KNIGHT AP","1941-01-01","1946-06-05"
"367","Tampa","USW00012842",27.9619,-82.5403,"TAMPA INTERNATIONAL AP","1946-06-07","2020-12-31"
"368","Tallahassee","USW00093805",30.3975,-84.3289,"TALLAHASSEE","1893-01-01","1942-07-31"
"369","Tallahassee","USW00093805",30.3975,-84.3289,"TALLAHASSEE REGIONAL AP","1942-08-01","2020-12-31"
"370","Pensacola","USW00013899",30.4781,-87.1869,"PENSACOLA WBO","1880-01-01","1948-06-30"
"371","Pensacola","USW00013899",30.4781,-87.1869,"PENSACOLA REGIONAL AP","1948-07-01","2020-12-31"
"372","Orlando","USW00012815",28.4339,-81.325,"ORLANDO MUNI AP","1892-01-01","1974-01-31"
"373","Orlando","USW00012815",28.4339,-81.325,"ORLANDO INTL ARPT","1974-02-01","2020-12-31"
"374","Miami","USW00012839",25.7906,-80.3164,"MIAMI","1896-01-01","1939-01-31"
"375","Miami","USW00012839",25.7906,-80.3164,"MIAMI INTL AP","1939-02-01","2020-12-31"
"376","KeyWest","USW00012836",24.555,-81.7522,"KEY WEST WB CITY","1871-01-01","1958-02-28"
"377","KeyWest","USW00012836",24.555,-81.7522,"KEY WEST INTL ARPT","1958-03-01","2020-12-31"
"378","Jacksonville","USW00013889",30.4844,-81.7019,"JACKSONVILLE WBO","1872-01-01","1955-12-31"
"379","Jacksonville","USW00013889",30.4844,-81.7019,"JACKSONVILLE INTL AP","1956-01-01","2020-12-31"
"380","Gainesville","USW00012816",29.6919,-82.2756,"GAINESVILLE UNIV OF","1891-01-01","1957-05-31"
"381","Gainesville","USW00012816",29.6919,-82.2756,"GAINESVILLE 3 WSW","1957-06-01","1960-05-16"
"382","Gainesville","USW00012816",29.6919,-82.2756,"GAINESVILLE REGIONAL AP","1960-05-17","1969-12-31"
"383","Gainesville","USW00012816",29.6919,-82.2756,"GAINESVILLE 3 WSW","1970-01-01","1983-12-31"
"384","Gainesville","USW00012816",29.6919,-82.2756,"GAINESVILLE REGIONAL AP","1984-01-01","2020-12-31"
"385","FortMyers","USW00012835",26.585,-81.8614,"FORT MYERS PAGE FIELD","1892-01-01","2020-12-31"
"386","WashingtonDC","USW00013743",38.8483,-77.0342,"WASHINGTON WB CITY","1871-01-01","1945-06-30"
"387","WashingtonDC","USW00013743",38.8483,-77.0342,"WASHINGTON REAGAN NATIONAL AP","1945-07-01","2020-12-31"
"388","Wilmington","USW00013781",39.6728,-75.6008,"WILMINGTON CITY HALL","1894-01-01","1931-12-31"
"389","Wilmington","USW00013781",39.6728,-75.6008,"WILMINGTON PORTER RESV","1932-01-01","1947-12-31"
"390","Wilmington","USW00013781",39.6728,-75.6008,"WILMINGTON NEW CASTLE CNTY AP","1948-01-01","2020-12-31"
"391","Pueblo","USW00093058",38.29,-104.4983,"PUEBLO WB AIRPORT","1889-01-01","1954-06-15"
"392","Pueblo","USW00093058",38.29,-104.4983,"PUEBLO MEMORIAL AP","1954-06-16","2020-12-31"
"393","GrandJunction","USW00023066",39.1342,-108.54,"GRAND JUNCTION","1893-01-01","1899-12-31"
"394","GrandJunction","USW00023066",39.1342,-108.54,"GRAND JUNCTION WALKER FIELD","1900-01-01","2020-12-31"
"395","Denver","USW00003017",39.8328,-104.6575,"DENVER WSO CITY","1872-01-01","1949-12-31"
"396","Denver","USW00003017",39.8328,-104.6575,"DENVER STAPLETON INTL ARPT","1950-01-01","1995-02-28"
"397","Denver","USW00003017",39.8328,-104.6575,"DENVER INTL AP","1995-03-01","2020-12-31"
"398","ColoradoSprings","USW00093037",38.81,-104.6883,"COLORADO SPRINGS","1895-01-01","1947-07-31"
"399","ColoradoSprings","USW00093037",38.81,-104.6883,"COLORADO SPRINGS MUNI AP","1948-04-01","2020-12-31"
