"","Name","ID","Lat","Lon","Stn.Name","Stn.stDate","Stn.edDate"
"201","NorfolkNE","USW00014941",41.9856,-97.4353,"NORFOLK","1894-01-01","1946-10-04"
"202","NorfolkNE","USW00014941",41.9856,-97.4353,"NORFOLK KARL STEFAN MEM ARPT","1946-10-05","2020-12-31"
"203","NorthPlatte","USW00024023",41.1214,-100.6694,"NORTH PLATTE","1875-01-01","1947-12-31"
"204","NorthPlatte","USW00024023",41.1214,-100.6694,"NORTH PLATTE REGIONAL AP","1948-01-01","2020-12-31"
"205","Lincoln","USW00014939",40.8508,-96.7475,"LINCOLN UNIV CAMPUS","1887-01-01","1947-12-31"
"206","Lincoln","USW00014939",40.8508,-96.7475,"LINCOLN MUNICIPAL ARPT","1948-01-01","1954-06-30"
"207","Lincoln","USW00014939",40.8508,-96.7475,"LINCOLN UNIV CAMPUS","1954-07-01","1955-08-31"
"208","Lincoln","USW00014939",40.8508,-96.7475,"LINCOLN WB CITY","1955-09-01","1972-08-31"
"209","Lincoln","USW00014939",40.8508,-96.7475,"LINCOLN MUNICIPAL ARPT","1972-09-01","2020-12-31"
"210","GrandIsland","USW00014935",40.9611,-98.3136,"GRAND ISLAND","1896-01-01","1919-07-31"
"211","GrandIsland","USW00014935",40.9611,-98.3136,"GRAND ISLAND #2","1919-08-01","1938-02-28"
"212","GrandIsland","USW00014935",40.9611,-98.3136,"GRAND ISLAND CENTRAL NE REGION","1938-03-01","2020-12-31"
"213","Missoula","USW00024153",46.9208,-114.0925,"MISSOULA 6 NW WFO","1894-01-01","1947-12-31"
"214","Missoula","USW00024153",46.9208,-114.0925,"MISSOULA INTERNATIONAL AP","1948-01-01","2020-12-31"
"215","Helena","USW00024144",46.6056,-111.9636,"HELENA WBO","1881-01-01","1940-04-30"
"216","Helena","USW00024144",46.6056,-111.9636,"HELENA REGIONAL AIRPORT","1940-05-01","2020-12-31"
"217","Havre","USW00094012",48.5428,-109.7633,"HAVRE","1880-01-01","1961-01-31"
"218","Havre","USW00094012",48.5428,-109.7633,"HAVRE CITY-COUNTY AP","1961-02-01","2020-12-31"
"219","GreatFalls","USW00024143",47.4733,-111.3822,"GREAT FALLS 16ST","1892-01-01","1937-03-31"
"220","GreatFalls","USW00024143",47.4733,-111.3822,"GREAT FALLS INTL ARPT","1937-04-01","2020-12-31"
"221","Glasgow","USW00094008",48.2138,-106.6213,"GLASGOW 2","1894-01-01","1947-12-31"
"222","Glasgow","USW00094008",48.2138,-106.6213,"GLASGOW INTL ARPT","1948-01-01","2020-12-31"
"223","Jefferson","USW00003963",38.5911,-92.1558,"Jefferson City Water Plant","1895-01-01","1997-05-31"
"224","Jefferson","USW00003963",38.5911,-92.1558,"Jefferson City Memorial Airport","1997-06-01","2020-12-31"
"225","StLouis","USW00013994",38.7525,-90.3736,"ST LOUIS EADS BRIDGE","1893-01-01","1929-12-31"
"226","StLouis","USW00013994",38.7525,-90.3736,"ST LOUIS LAMBERT INTL ARPT","1930-01-01","2020-12-31"
"227","SpringfieldMO","USW00013995",37.2353,-93.4003,"SPRINGFIELD - MO","1888-01-01","1896-12-31"
"228","SpringfieldMO","USW00013995",37.2353,-93.4003,"SPRINGFIELD CITY","1897-01-01","1939-12-31"
"229","SpringfieldMO","USW00013995",37.2353,-93.4003,"SPRINGFIELD REGIONAL ARPT","1940-01-01","2020-12-31"
"230","KansasCity","USW00003947",39.2972,-94.7306,"KANSAS CITY","1889-01-01","1933-12-31"
"231","KansasCity","USW00003947",39.2972,-94.7306,"KANSAS CITY DOWNTOWN AP","1934-01-01","1972-09-30"
"232","KansasCity","USW00003947",39.2972,-94.7306,"KANSAS CITY INTL AP","1972-10-01","2020-12-31"
"233","ColumbiaMO","USW00003945",38.8169,-92.2183,"COLUMBIA REGIONAL AIRPORT","1890-01-01","2020-12-31"
"234","Gulfport","USW00093874",30.4119,-89.0808,"Biloxi","1894-01-01","1956-06-29"
"235","Gulfport","USW00093874",30.4119,-89.0808,"Gulfport Naval Center","1956-06-30","1998-09-30"
"236","Gulfport","USW00093874",30.4119,-89.0808,"Gulfport-Biloxi AP","1998-10-01","2020-12-31"
"237","Hattiesburg","USW00013833",31.2819,-89.2531,"Hattiesburg 5 SW","1893-01-01","2000-07-31"
"238","Hattiesburg","USW00013833",31.2819,-89.2531,"Hattiesburg Chain Muni AP","2000-08-01","2020-12-31"
"239","Meridian","USW00013865",32.3347,-88.7442,"MERIDIAN WBO","1890-01-01","1944-05-31"
"240","Meridian","USW00013865",32.3347,-88.7442,"MERIDIAN KEY FIELD","1944-06-01","2020-12-31"
"241","Jackson","USW00003940",32.3206,-90.0778,"JACKSON","1896-01-01","1963-07-07"
"242","Jackson","USW00003940",32.3206,-90.0778,"JACKSON INTERNATIONAL AP","1963-07-08","2020-12-31"
"243","SaintCloud","USW00014926",45.5433,-94.0514,"ST CLOUD NORMAL SCHOOL","1894-01-01","1903-09-30"
"244","SaintCloud","USW00014926",45.5433,-94.0514,"ST CLOUD REGIONAL ARPT","1903-10-01","2020-12-31"
"245","RochesterMN","USW00014925",43.9042,-92.4917,"ROCHESTER INTERNATIONAL ARPT","1887-01-01","2020-12-31"
"246","Minneapolis","USW00014922",44.8831,-93.2289,"ST PAUL SIGNAL SERVICE","1871-01-01","1891-04-30"
"247","Minneapolis","USW00014922",44.8831,-93.2289,"MINNEAPOLIS WB DWTN","1891-05-01","1938-04-08"
"248","Minneapolis","USW00014922",44.8831,-93.2289,"MINNEAPOLIS-ST PAUL INTL ARPT","1938-04-09","2020-12-31"
"249","InternationalFalls","USW00014918",48.5614,-93.3981,"INTERNATIONAL FALLS INTL AP","1896-01-01","2020-12-31"
