"","Name","ID","Lat","Lon","Stn.Name","Stn.stDate","Stn.edDate"
"400","CrescentCity","USW00024286",41.7803,-124.2367,"CRESCENT CITY 3NNW","1895-01-01","2000-07-31"
"401","CrescentCity","USW00024286",41.7803,-124.2367,"CRESCENT CITY MCNAMARA AP","2000-08-01","2020-12-31"
"402","Escondido","USC00042863",33.1211,-117.09,"Escondido","1894-01-01","1979-03-31"
"403","Escondido","USC00042863",33.1211,-117.09,"Escondido 2","1979-04-01","2020-12-31"
"404","Ukiah","USW00023275",39.1258,-123.2008,"Ukiah","1893-01-01","2000-07-31"
"405","Ukiah","USW00023275",39.1258,-123.2008,"UKIAH MUNI AP","2000-08-01","2020-12-31"
"406","Sacramento","USW00023271",38.5553,-121.4183,"SACRAMENTO 5 ESE","1878-01-01","2020-12-31"
"407","Riverside","USW00003171",33.9519,-117.4386,"Riverside Fire Sta 3","1893-01-01","2008-12-31"
"408","Riverside","USW00003171",33.9519,-117.4386,"Riverside AP","2009-01-01","2020-12-31"
"409","Needles","USW00023179",34.7675,-114.6189,"Needles","1889-01-01","1940-03-09"
"410","Needles","USW00023179",34.7675,-114.6189,"Needles AP","1940-03-10","2020-12-31"
"411","SanDiego","USW00023188",32.7336,-117.1831,"SAN DIEGO WBO","1851-01-01","1939-06-30"
"412","SanDiego","USW00023188",32.7336,-117.1831,"SAN DIEGO LINDBERGH FIELD","1939-07-01","2020-12-31"
"413","Redding","USW00024257",40.5175,-122.2986,"REDDING WSO","1893-01-01","1944-07-31"
"414","Redding","USW00024257",40.5175,-122.2986,"REDDING FIRE STN 2","1944-08-01","1979-04-30"
"415","Redding","USW00024257",40.5175,-122.2986,"REDDING FIRE STN 4","1979-05-01","1986-08-31"
"416","Redding","USW00024257",40.5175,-122.2986,"REDDING MUNICIPAL ARPT","1986-09-01","2020-12-31"
"417","LosAngeles","USW00093134",34.0511,-118.2353,"LOS ANGELES DOWNTOWN USC CAMPU","1878-01-01","2020-12-31"
"418","Fresno","USW00093193",36.78,-119.7194,"FRESNO CITY OFFICES","1882-01-01","1939-06-30"
"419","Fresno","USW00093193",36.78,-119.7194,"FRESNO CHANDLER FIELD","1939-07-01","1949-08-20"
"420","Fresno","USW00093193",36.78,-119.7194,"FRESNO YOSEMITE INTL AP","1949-08-21","2020-12-31"
"421","Eureka","USW00024213",40.8097,-124.1603,"EUREKA","1887-01-01","2020-12-31"
"422","Bakersfield","USW00023155",35.4344,-119.0542,"BAKERSFIELD","1893-01-01","1937-09-30"
"423","Bakersfield","USW00023155",35.4344,-119.0542,"BAKERSFIELD MEADOWS FIELD","1937-10-01","2020-12-31"
"424","Russellville","USW00053920",35.2578,-93.0947,"Russellville","1893-01-01","1909-07-31"
"425","Russellville","USW00053920",35.2578,-93.0947,"Dardanelle","1909-08-01","1936-09-07"
"426","Russellville","USW00053920",35.2578,-93.0947,"Russellville","1936-09-08","1979-11-30"
"427","Russellville","USW00053920",35.2578,-93.0947,"Dardanelle","1979-12-01","1999-01-06"
"428","Russellville","USW00053920",35.2578,-93.0947,"Russellville Muni AP","1999-01-07","2020-12-31"
"429","PineBluff","USW00093988",34.175,-91.9347,"Pine Bluff","1885-01-01","1948-09-30"
"430","PineBluff","USW00093988",34.175,-91.9347,"Pine Bluff Grider Field","1948-10-01","1974-02-28"
"431","PineBluff","USW00093988",34.175,-91.9347,"Pine Bluff","1974-03-01","1988-05-27"
"432","PineBluff","USW00093988",34.175,-91.9347,"Pine Bluff Grider Field","1988-05-28","2020-12-31"
"433","Jonesboro","USW00003953",35.8311,-90.6464,"Jonesboro 2 NE","1891-01-01","1998-10-31"
"434","Jonesboro","USW00003953",35.8311,-90.6464,"Jonesboro Muni AP","1998-11-01","2020-12-31"
"435","Harrison","USW00013971",36.2667,-93.1567,"Harrison","1892-01-01","1975-02-28"
"436","Harrison","USW00013971",36.2667,-93.1567,"Harrison Boone Co AP","1975-03-01","2020-12-31"
"437","LittleRock","USW00013963",34.7272,-92.2389,"LITTLE ROCK ST CAPITOL","1876-01-01","1942-04-30"
"438","LittleRock","USW00013963",34.7272,-92.2389,"LITTLE ROCK ADAMS FIELD","1942-05-01","2020-12-31"
"439","FortSmith","USW00013964",35.3331,-94.3625,"FORT SMITH","1883-01-01","1945-09-26"
"440","FortSmith","USW00013964",35.3331,-94.3625,"FORT SMITH REGIONAL AP","1945-09-27","2020-12-31"
"441","Yuma","USW00003145",32.65,-114.6167,"YUMA WB CITY","1876-01-01","1949-07-31"
"442","Yuma","USW00003145",32.65,-114.6167,"YUMA INTL ARPT","1949-08-01","1995-11-30"
"443","Yuma","USW00003145",32.65,-114.6167,"YUMA MCAS","1995-12-01","2020-12-31"
"444","Tucson","USW00023160",32.1314,-110.9553,"TUCSON WBO","1895-01-01","1948-10-14"
"445","Tucson","USW00023160",32.1314,-110.9553,"TUCSON INTERNATIONAL AP","1948-10-15","2020-12-31"
"446","Phoenix","USW00023183",33.4278,-112.0039,"PHOENIX CITY","1896-01-01","1953-09-30"
"447","Phoenix","USW00023183",33.4278,-112.0039,"PHOENIX SKY HARBOR INTL AP","1953-10-01","2020-12-31"
